what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1716358021328
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1716358021329
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1716358021329
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1716358021329
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1716358021330
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1716358021331
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1716358021331
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1716358021332
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1716358021332
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1716358021333
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1716358021334
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1716358021335
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1716358021335
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1716358021336
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1716358021336
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1716358021336
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1716358021337
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1716358021337
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1716358021338
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1716358021338
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1716358021338
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1716358021339
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1716358021339
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1716358021340
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1716358021348
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1716358021348
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1716358021348
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1716358021349
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1716358021349
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1716358021349
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1716358021349
os,sysinfo,,,"win32",1716358021351
arch,sysinfo,,,"x86",1716358021351
ws,sysinfo,,,"win32",1716358021351
locale,sysinfo,,,"en_US",1716358021351
processors,sysinfo,,,"8",1716358021351
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1716358021351
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1716358021351
java.specification.name,sysinfo,,,"Java Platform API Specification",1716358021351
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1716358021351
java.specification.version,sysinfo,,,"1.6",1716358021351
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1716358021351
java.version,sysinfo,,,"1.6.0_23",1716358021351
java.vm.info,sysinfo,,,"mixed mode",1716358021351
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1716358021351
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1716358021351
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1716358021351
java.vm.specification.version,sysinfo,,,"1.0",1716358021351
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1716358021351
java.vm.version,sysinfo,,,"19.0-b09",1716358021351
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1716358022392
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1716358023159
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1716358023690
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1716358023734
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1716358027182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1716358027202
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1716358027259
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1716358027260
